column,n_missing,pct_missing
loss_severity_band,266277,99.311
exception_type,261079,97.372
next_12m_prepayment_flag,12913,4.816
next_12m_default_flag,12913,4.816
next_6m_delinquency_flag,5390,2.01
next_3m_delinquency_flag,2450,0.914
next_state,767,0.286
original_balance,0,0.0
remaining_term_months,0,0.0
loan_age_months,0,0.0
origination_month,0,0.0
reporting_month,0,0.0
month_index,0,0.0
loan_id,0,0.0
current_balance,0,0.0
occupancy_type,0,0.0
interest_rate,0,0.0
credit_score_band,0,0.0
ltv_band,0,0.0
dti_band,0,0.0
state,0,0.0
loan_purpose,0,0.0
property_type,0,0.0
default_flag,0,0.0
prepayment_flag,0,0.0
modification_flag,0,0.0
days_past_due,0,0.0
current_status,0,0.0
vintage_year,0,0.0
servicer_name,0,0.0
document_status,0,0.0
source_system,0,0.0
last_updated_at,0,0.0
exception_required,0,0.0
vintage_quarter,0,0.0
credit_score,0,0.0
ltv,0,0.0
dti,0,0.0
original_term_months,0,0.0
